100A	2	12	0.1	32
123A	2	118	0.1	20
229V	2	426	0.3	13
338A	2	296	0.4	12
355U	2	219	0.1	16
355X	2	151	0.5	24
355Y	2	455	0.2	26
360X	2	135	0.4	41
586E	2	271	0.5	27
621A	2	73	0.2	24
884A	2	407	0.3	21
929N	2	79	0.5	38
1037A	2	151	0.5	12
1037B	2	146	0.5	26
1115B	2	285	0.3	35
1115E	2	93	0.2	26
1165A	2	87	0.5	30
1233A	2	194	0.5	25
1233G	2	361	0.1	43
1233H	2	220	0.2	17
1233J	2	318	0.2	11
1239E	2	324	0.1	21
1624A	2	109	0.4	15
1629X	2	367	0.5	43
1687C	2	114	0.2	28
2011B	2	284	0.4	31
2011D	2	238	0.2	20
2011J	2	182	0.4	32
2011K	2	306	0.2	18
2140A	2	389	0.3	21
2140C	2	484	0.3	16
2140D	2	84	0.3	35
2393S	2	215	0.5	25
2624C	2	116	0.2	37
2719A	2	321	0.5	38
2719F	2	407	0.2	18
2774A	2	82	0.1	24
2775V	2	186	0.1	22
2849B	2	175	0.4	30
3150A	2	324	0.2	24
3150C	2	173	0.2	42
5069Z	2	292	0.3	44
6008D	2	437	0.3	12
6210A	2	450	0.2	29
6210G	2	117	0.1	43
6210M	2	421	0.5	20
6210T	2	283	0.1	34
6219X	2	165	0.1	30
6277B	2	259	0.5	12
6277C	2	55	0.4	23
6842K	2	393	0.1	41
6842V	2	26	0.1	26
7282K	2	119	0.1	42
7282R	2	86	0.4	17
7368M	2	171	0.3	39
7368W	2	435	0.1	38
7701P	2	439	0.2	28
7701X	2	343	0.5	33
7862H	2	398	0.2	14
8626K	2	455	0.1	23
8675F	2	371	0.2	44
8675V	2	317	0.5	27
8823A	2	15	0.3	39
8823Z	2	87	0.3	30
9065P	2	159	0.1	31
10009A	2	443	0.3	39
10102A	2	205	0.5	32
10102X	2	150	0.3	35
10278A	2	218	0.2	41
11101B	2	34	0.2	22
11101X	2	490	0.1	31
16868C	2	38	0.3	31
17788F	2	107	0.5	37
30809S	2	138	0.1	32
32092G	2	64	0.3	22
38141C	2	26	0.3	35
38141D	2	359	0.1	15
39313Z	2	297	0.5	38
45618A	2	3	0.1	20
50421A	2	105	0.3	30
53863H	2	99	0.4	27
57249A	2	340	0.2	31
57249B	2	352	0.3	33
57249C	2	442	0.3	30
57711X	2	242	0.2	41
71100S	2	483	0.2	23
73641A	2	164	0.5	19
73641R	2	96	0.3	33
73641S	2	209	0.2	21
77787B	2	56	0.1	37
80920A	2	375	0.1	32
85142Z	2	488	0.1	24
91416N	2	344	0.4	41
94517X	2	407	0.3	12
97934H	2	407	0.3	29
97934S	2	318	0.1	35
97934U	2	270	0.5	10
97934X	2	283	0.1	13
99904B	2	360	0.1	34
99904C	2	31	0.3	25
99904E	2	230	0.2	16
99904W	2	291	0.2	37
81A	1	95	0.4	15
81F	1	293	0.1	42
81H	1	196	0.1	29
81K	1	248	0.1	33
81P	1	65	0.5	20
91A	1	268	0.1	25
91F	1	452	0.4	18
91R	1	82	0.3	37
91X	1	127	0.2	18
169A	1	177	0.4	44
169E	1	348	0.3	14
169F	1	121	0.3	22
169X	1	486	0.3	15
169Y	1	31	0.3	15
169Z	1	298	0.3	24
197D	1	335	0.4	25
242A	1	186	0.5	14
242B	1	497	0.5	42
242C	1	225	0.2	43
242E	1	466	0.3	16
242Z	1	154	0.4	35
729M	1	391	0.5	33
741A	1	100	0.1	12
1267A	1	472	0.2	25
1267B	1	383	0.2	15
1267D	1	193	0.5	25
1267F	1	276	0.5	14
1267G	1	490	0.5	12
1267X	1	90	0.2	30
1274A	1	472	0.1	33
1274B	1	460	0.5	43
4001A	1	421	0.5	30
4001E	1	152	0.4	30
6121A	1	145	0.3	21
6121D	1	419	0.2	26
8114A	1	282	0.2	29
19355A	1	300	0.1	15
81A	2	384	0.1	37
81F	2	24	0.1	23
81H	2	99	0.1	31
81K	2	321	0.2	39
81P	2	264	0.3	31
91A	2	277	0.5	33
91F	2	265	0.5	22
91R	2	243	0.4	31
91X	2	281	0.4	14
169A	2	296	0.3	12
169E	2	457	0.4	44
169F	2	215	0.5	25
169X	2	454	0.2	34
169Y	2	41	0.1	30
169Z	2	21	0.4	23
197D	2	231	0.4	26
242A	2	377	0.1	10
242B	2	428	0.1	38
242C	2	115	0.1	37
242E	2	122	0.5	19
242Z	2	190	0.2	12
729M	2	230	0.4	36
741A	2	460	0.4	40
1267A	2	216	0.2	24
1267B	2	181	0.4	28
1267D	2	339	0.5	39
1267F	2	416	0.2	26
1267G	2	326	0.3	17
1267X	2	489	0.5	33
1274A	2	261	0.5	36
1274B	2	316	0.3	32
4001A	2	105	0.1	31
4001E	2	157	0.1	42
6121A	2	12	0.5	14
6121D	2	60	0.4	12
8114A	2	356	0.2	13
19355A	2	353	0.5	39
