2024-11-22T10:31-05:00	1	99904C	355Y	1687C	355U	12	34	2
2024-11-22T10:35-05:00	2	1239E	11101X	10102A	7368M	33	24	2
2024-11-22T10:38-05:00	3	38141C	97934H	2140D	38141D	27	7	2
2024-11-22T10:43-05:00	4	45618A	1115E	2719F	3150A	26	34	2
2024-11-22T10:46-05:00	5	97934X	1624A	80920A	6210T	0	36	2
2024-11-22T10:50-05:00	6	8823Z	57711X	99904E	8675V	40	35	2
2024-11-22T10:54-05:00	7	2011D	2624C	2393S	1165A	39	10	2
2024-11-22T10:57-05:00	8	6219X	6210M	1037B	6210G	38	6	2
2024-11-22T11:01-05:00	9	39313Z	1037A	7862H	7282R	25	30	2
2024-11-22T11:03-05:00	10	57249C	6842K	7368W	2140A	22	24	2
2024-11-22T11:06-05:00	11	99904B	6277B	77787B	2140C	41	31	2
2024-11-22T11:11-05:00	12	53863H	8675F	2849B	97934S	25	7	2
2024-11-22T11:14-05:00	13	6210A	7282K	2011K	16868C	39	31	2
2024-11-22T11:19-05:00	14	17788F	73641R	355X	9065P	17	23	2
2024-11-22T11:24-05:00	15	3150C	8626K	71100S	2775V	31	39	2
2024-11-22T11:27-05:00	16	30809S	1233G	6277C	2011J	21	38	2
2024-11-22T11:30-05:00	17	360X	338A	50421A	8823A	34	11	2
2024-11-22T11:33-05:00	18	57249A	7701P	10278A	2719A	22	24	2
2024-11-22T11:38-05:00	19	1233J	99904W	1233H	11101B	2	37	2
2024-11-22T11:41-05:00	20	1115B	229V	884A	6842V	26	41	2
2024-11-22T11:44-05:00	21	94517X	85142Z	73641A	73641S	35	19	2
2024-11-22T11:48-05:00	22	6008D	929N	123A	100A	26	40	2
2024-11-22T11:52-05:00	23	1233A	97934U	2011B	586E	14	34	2
2024-11-22T11:55-05:00	24	621A	2774A	7701X	5069Z	31	16	2
2024-11-22T11:58-05:00	25	57249B	10009A	91416N	32092G	20	34	2
2024-11-22T12:04-05:00	26	99904B	80920A	97934H	11101X	32	25	2
2024-11-22T12:08-05:00	27	77787B	355U	16868C	1037B	40	35	2
2024-11-22T12:11-05:00	28	6277C	7368W	38141C	73641R	21	14	2
2024-11-22T12:14-05:00	29	97934S	71100S	97934X	6210M	41	17	2
2024-11-22T12:17-05:00	30	3150A	39313Z	57249A	8823Z	30	37	2
2024-11-22T12:21-05:00	31	1687C	57249C	1115E	8626K	36	33	2
2024-11-22T13:29-05:00	32	884A	10278A	99904C	7862H	40	20	2
2024-11-22T13:32-05:00	33	6842V	1233H	57711X	6210A	25	33	2
2024-11-22T13:35-05:00	34	355Y	2719A	6219X	229V	27	44	2
2024-11-22T13:39-05:00	35	99904E	2011B	2011K	2393S	27	41	2
2024-11-22T13:42-05:00	36	7282R	7701X	1624A	2849B	39	16	2
2024-11-22T13:45-05:00	37	32092G	1233A	1239E	45618A	30	15	2
2024-11-22T13:48-05:00	38	100A	355X	85142Z	3150C	35	11	2
2024-11-22T13:51-05:00	39	2775V	73641A	2774A	57249B	35	16	2
2024-11-22T13:54-05:00	40	8823A	30809S	17788F	2624C	21	28	2
2024-11-22T13:58-05:00	41	1037A	6210G	338A	6277B	9	22	2
2024-11-22T14:01-05:00	42	9065P	2011J	2140A	123A	28	18	2
2024-11-22T14:05-05:00	43	38141D	2140C	11101B	10009A	17	36	2
2024-11-22T14:08-05:00	44	5069Z	7368M	7282K	1115B	22	40	2
2024-11-22T14:11-05:00	45	50421A	8675V	1233G	2011D	16	13	2
2024-11-22T14:16-05:00	46	10102A	1165A	97934U	6210T	30	19	2
2024-11-22T14:21-05:00	47	2140D	586E	7701P	360X	23	41	2
2024-11-22T14:23-05:00	48	73641S	6008D	621A	6842K	10	27	2
2024-11-22T14:27-05:00	49	2719F	1233J	53863H	929N	8	23	2
2024-11-22T14:31-05:00	50	91416N	94517X	8675F	99904W	27	33	2
2024-11-22T14:34-05:00	51	355U	38141C	6842V	10278A	6	45	2
2024-11-22T14:38-05:00	52	77787B	17788F	6219X	8823Z	22	33	2
2024-11-22T14:43-05:00	53	6277C	8823A	57249B	11101X	26	21	2
2024-11-22T14:47-05:00	54	1037B	2140A	355Y	1239E	6	18	2
2024-11-22T14:51-05:00	55	2775V	2011B	7282R	99904B	31	43	2
2024-11-22T14:54-05:00	56	7862H	5069Z	1233H	1687C	24	29	2
2024-11-22T14:57-05:00	57	9065P	2011D	3150A	30809S	28	27	2
2024-11-22T15:01-05:00	58	10009A	338A	7368W	8675V	18	35	2
2024-11-22T15:04-05:00	59	6210M	7701P	97934H	1233A	32	27	2
2024-11-22T15:08-05:00	60	7368M	360X	97934X	57249C	43	7	2
2024-11-22T15:11-05:00	61	16868C	3150C	1037A	32092G	28	32	2
2024-11-22T15:14-05:00	62	99904W	2011J	2140C	884A	28	30	2
2024-11-22T15:17-05:00	63	123A	229V	50421A	1115E	38	25	2
2024-11-22T15:21-05:00	64	621A	73641R	99904C	94517X	13	42	2
2024-11-22T15:24-05:00	65	8626K	2393S	929N	97934U	41	41	2
2024-11-22T15:27-05:00	66	45618A	2774A	39313Z	100A	4	28	2
2024-11-22T15:30-05:00	67	1233G	1624A	99904E	7282K	8	38	2
2024-11-22T15:33-05:00	68	6210A	97934S	1233J	73641A	16	5	2
2024-11-22T15:36-05:00	69	10102A	2849B	6008D	586E	39	27	2
2024-11-22T15:39-05:00	70	6210G	38141D	2719A	8675F	3	32	2
2024-11-22T15:43-05:00	71	6210T	11101B	355X	2011K	39	33	2
2024-11-22T15:46-05:00	72	6277B	80920A	7701X	2719F	13	27	2
2024-11-22T15:50-05:00	73	2140D	1165A	73641S	57249A	8	37	2
2024-11-22T15:54-05:00	74	2624C	1115B	85142Z	71100S	27	44	2
2024-11-22T15:57-05:00	75	6842K	57711X	91416N	53863H	44	28	2
2024-11-22T16:00-05:00	76	11101X	8675V	3150C	94517X	32	30	2
2024-11-22T16:03-05:00	77	2393S	16868C	99904C	57249B	40	18	2
2024-11-22T16:06-05:00	78	1037B	7282R	45618A	338A	14	13	2
2024-11-22T16:10-05:00	79	1233H	6219X	7701P	1624A	40	15	2
2024-11-22T16:14-05:00	80	32092G	38141C	355Y	97934S	32	31	2
2024-11-22T16:17-05:00	81	929N	97934H	97934X	1687C	20	30	2
2024-11-22T16:20-05:00	82	8675F	5069Z	355U	1233J	26	9	2
2024-11-22T16:23-05:00	83	6842V	7368M	77787B	2775V	27	23	2
2024-11-22T16:26-05:00	84	97934U	73641A	8823Z	57249C	28	28	2
2024-11-22T16:31-05:00	85	2719A	355X	1165A	1115E	17	24	2
2024-11-22T16:34-05:00	86	1115B	99904E	73641R	39313Z	38	21	2
2024-11-22T16:39-05:00	87	10009A	1037A	99904W	1233G	29	18	2
2024-11-22T16:42-05:00	88	6210T	100A	57711X	10278A	33	29	2
2024-11-22T16:47-05:00	89	7282K	2719F	10102A	99904B	5	50	2
2024-11-22T16:50-05:00	90	53863H	11101B	2624C	586E	28	15	2
2024-11-22T16:55-05:00	91	7368W	7862H	360X	9065P	25	40	2
2024-11-23T08:27-05:00	92	71100S	621A	80920A	8823A	31	43	2
2024-11-23T08:30-05:00	93	85142Z	7701X	30809S	6210M	30	38	2
2024-11-23T08:33-05:00	94	3150A	50421A	6008D	6210G	30	29	2
2024-11-23T08:37-05:00	95	91416N	2140A	229V	17788F	3	39	2
2024-11-23T08:40-05:00	96	884A	38141D	6842K	1233A	26	40	2
2024-11-23T08:44-05:00	97	2011K	57249A	6277B	1239E	33	14	2
2024-11-23T08:47-05:00	98	6210A	2011B	2011J	2774A	28	38	2
2024-11-23T08:51-05:00	99	123A	73641S	6277C	2140C	19	29	2
2024-11-23T08:54-05:00	100	2849B	2011D	2140D	8626K	37	25	2
2024-11-23T08:57-05:00	101	7701P	1037B	38141C	99904E	28	30	2
2024-11-23T09:00-05:00	102	57249B	73641R	97934H	2719A	34	4	2
2024-11-23T09:03-05:00	103	8675F	32092G	6219X	2393S	35	35	2
2024-11-23T09:07-05:00	104	7862H	2775V	338A	57711X	14	21	2
2024-11-23T09:10-05:00	105	99904C	71100S	73641A	7368W	22	12	2
